RUC_PROVEEDOR,TIPO_PROCEDIMIENTO,SUB_TOTAL,IGV,ACUERDO_MARCO,year,month,day
1327,0,26960.0,4852.8,9,2022,5,12
1473,0,8990.28,1618.25,9,2022,5,12
302,0,20625.0,3712.5,12,2022,5,12
864,0,546.2,98.31,9,2022,5,12
756,0,52.5,9.45,9,2022,5,12
571,0,2055.05,369.91,11,2022,5,12
295,0,5202.49,936.45,3,2022,5,12
858,0,302.0,54.36,12,2022,5,12
401,0,1836.6,330.59,12,2022,5,12
746,0,339.34,61.08,11,2022,5,12
896,0,585.0,105.3,12,2022,5,12
1473,0,29665.0,5339.7,9,2022,5,12
346,0,405.0,72.9,12,2022,5,12
346,0,405.0,72.9,12,2022,5,12
346,0,513.0,92.34,12,2022,5,12
346,0,540.0,97.2,12,2022,5,12
536,0,2125.5,382.59,15,2022,5,12
1227,0,586.8,105.62,15,2022,5,12
1227,0,3373.5,607.23,15,2022,5,12
1420,0,936.0,168.48,11,2022,5,12
912,0,936.0,168.48,11,2022,5,12
1420,0,702.0,126.36,11,2022,5,12
681,0,257.7,46.39,9,2022,5,12
1023,0,1834.64,330.24,11,2022,5,12
1038,0,3226.6,580.79,11,2022,5,12
675,0,69670.98,12540.77,11,2022,5,12
1038,0,3226.6,580.79,11,2022,5,12
1038,0,3071.1,552.8,11,2022,5,12
201,0,1302.15,234.39,11,2022,5,12
1038,0,11062.44,1991.24,11,2022,5,12
1104,0,124.0,22.32,12,2022,5,12
412,0,2134.1,384.14,12,2022,5,12
539,0,1300.0,234.0,12,2022,5,12
756,0,37200.0,6696.0,12,2022,5,12
380,0,34500.0,6210.0,9,2022,5,12
380,0,19012.5,3422.25,9,2022,5,12
965,0,27600.0,4968.0,10,2022,5,12
1038,0,5131.42,923.66,11,2022,5,12
1010,0,583.0,104.94,11,2022,5,12
1023,0,1236.06,222.49,11,2022,5,12
1357,0,813.39,146.41,12,2022,5,12
1100,0,1817.33,327.12,11,2022,5,12
1038,0,2941.12,529.4,11,2022,5,12
1357,0,1088.0,195.84,12,2022,5,12
770,0,1209.48,217.71,11,2022,5,12
1166,0,8260.0,1486.8,12,2022,5,12
855,0,861.0,154.98,12,2022,5,12
539,0,450.0,81.0,12,2022,5,12
1201,0,299.5,53.91,12,2022,5,12
1094,0,700.2,126.04,12,2022,5,12
307,0,2415.42,434.78,12,2022,5,12
307,0,4294.08,772.93,12,2022,5,12
1238,0,19900.0,3582.0,10,2022,5,12
1173,0,1733.32,312.0,1,2022,5,12
495,0,165.0,29.7,12,2022,5,12
409,0,11184.0,2013.12,10,2022,5,12
531,0,2371.4,426.85,11,2022,5,12
1339,0,556.0,100.08,12,2022,5,12
642,0,9972.6,1795.07,11,2022,5,12
1281,0,1033.04,185.95,12,2022,5,12
1281,0,406.4,73.15,12,2022,5,12
1100,0,1547.6,278.57,11,2022,5,12
1100,0,4546.0,818.28,11,2022,5,12
1100,0,1489.6,268.13,11,2022,5,12
1100,0,2740.35,493.26,11,2022,5,12
1100,0,3653.8,657.68,11,2022,5,12
1100,0,8131.8,1463.72,11,2022,5,12
747,0,5456.86,982.23,12,2022,5,12
747,0,3020.64,543.72,3,2022,5,12
1484,0,677.0,121.86,3,2022,5,12
746,0,826.2,148.72,11,2022,5,12
1143,0,1695.8,305.24,11,2022,5,12
364,0,1508.9,271.6,11,2022,5,12
299,0,1552.96,279.55,12,2022,5,12
904,0,15190.0,2734.2,12,2022,5,12
1445,0,185.36,33.36,12,2022,5,12
1426,0,897.6,161.57,9,2022,5,12
1339,0,1819.48,327.5,12,2022,5,12
1293,0,2193.0,394.74,0,2022,5,12
1220,0,3685.12,663.32,11,2022,5,12
214,0,1550.0,279.0,9,2022,5,12
858,0,2440.0,439.2,12,2022,5,12
483,0,1571.26,282.83,1,2022,5,12
157,0,3410.0,613.8,12,2022,5,12
858,0,1525.0,274.5,12,2022,5,12
858,0,457.5,82.35,12,2022,5,12
1503,0,1795.5,323.19,12,2022,5,12
554,0,6485.85,1167.45,11,2022,5,12
1010,0,773.8,139.28,11,2022,5,12
119,0,229.6,41.33,12,2022,5,12
1003,0,292.05,52.57,12,2022,5,12
1312,0,36.0,6.48,12,2022,5,12
1312,0,34.5,6.21,12,2022,5,12
1003,0,39.0,7.02,12,2022,5,12
1003,0,56.7,10.21,12,2022,5,12
1003,0,62.0,11.16,12,2022,5,12
343,0,1767.66,318.18,9,2022,5,12
558,0,1722.0,309.96,12,2022,5,12
1445,0,6894.9,1241.08,2,2022,5,12
1003,0,292.0,52.56,12,2022,5,12
1312,0,56.0,10.08,12,2022,5,12
1420,0,1865.76,335.84,11,2022,5,12
418,0,372.6,67.07,12,2022,5,12
341,0,1077.0,193.86,9,2022,5,12
394,0,621.05,111.79,11,2022,5,12
912,0,696.42,125.36,11,2022,5,12
1302,0,714.8,128.66,11,2022,5,12
1357,0,2607.0,469.25,12,2022,5,12
895,0,5800.0,1044.0,12,2022,5,12
1023,0,14230.3,2561.46,11,2022,5,12
1076,0,2137.9,384.82,11,2022,5,12
691,0,1138.8,204.98,12,2022,5,12
1198,0,590.0,106.2,9,2022,5,12
1327,0,781.25,140.63,9,2022,5,12
1355,0,14669.18,2640.45,11,2022,5,12
364,0,340.48,61.29,11,2022,5,12
364,0,3530.5,635.49,11,2022,5,12
364,0,665.48,119.79,11,2022,5,12
418,0,828.0,149.04,12,2022,5,12
247,0,13960.0,2512.8,9,2022,5,12
1029,0,666.42,119.96,2,2022,5,12
644,0,2031.0,365.58,9,2022,5,12
401,1,4260.0,766.8,12,2022,5,12
1224,0,6086.0,1095.48,9,2022,5,12
302,0,37697.7,6785.59,12,2022,5,12
302,0,21383.0,3848.94,12,2022,5,12
997,1,17333.12,3119.96,11,2022,5,12
201,0,4357.3,784.31,11,2022,5,12
418,0,773.4,139.21,12,2022,5,12
982,0,3200.0,576.0,14,2022,5,12
418,0,990.4,178.27,12,2022,5,12
577,0,5600.0,1008.0,10,2022,5,12
404,1,2229.3,401.27,9,2022,5,12
843,0,2250.0,405.0,12,2022,5,12
593,1,13351.68,2403.3,11,2022,5,12
1309,0,699.52,125.9,11,2022,5,12
598,0,2011.92,362.15,11,2022,5,12
940,0,6986.88,1257.64,15,2022,5,12
1092,0,612.18,110.2,11,2022,5,12
